Version,Numeric,Alphanumeric,Binary
1,17,10,7
2,34,20,14
3,58,35,24
4,82,50,34
5,106,64,44
6,139,84,58
7,154,93,64
8,202,122,84
9,235,143,98
10,288,174,119
11,331,200,137
12,374,227,155
13,427,259,177
14,468,283,194
15,530,321,220
16,602,365,250
17,674,408,280
18,746,452,310
19,813,493,338
20,919,557,382
21,969,587,403
22,1056,640,439
23,1108,672,461
24,1228,744,511
25,1286,779,535
26,1425,864,593
27,1501,910,625
28,1581,958,658
29,1677,1016,698
30,1782,1080,742
31,1897,1150,790
32,2022,1226,842
33,2157,1307,898
34,2301,1394,958
35,2361,1431,983
36,2524,1530,1051
37,2625,1591,1093
38,2735,1658,1139
39,2927,1774,1219
40,3057,1852,1273
