Version,Total_Number_of_Data_Codewords,EC_Codewords_Per_Block,Number_of_Blocks_in_Group_1,Number_of_Data_Codewords_per_Group_1_Blocks,Number_of_Blocks_in_Group_2,Number_of_Data_Codewords_per_Group_2_Blocks,Total_Data_Codewords
1,9,17,1,9,0,0,9
2,16,28,1,16,0,0,16
3,26,22,2,13,0,0,26
4,36,16,4,9,0,0,36
5,46,22,2,11,2,12,46
6,60,28,4,15,0,0,60
7,66,26,4,13,1,14,66
8,86,26,4,14,2,15,86
9,100,24,4,12,4,13,100
10,122,28,6,15,2,16,122
11,140,24,3,12,8,13,140
12,158,28,7,14,4,15,158
13,180,22,12,11,4,12,180
14,197,24,11,12,5,13,197
15,223,24,11,12,7,13,223
16,253,30,3,15,13,16,253
17,283,28,2,14,17,15,283
18,313,28,2,14,19,15,313
19,341,26,9,13,16,14,341
20,385,28,15,15,10,16,385
21,406,30,19,16,6,17,406
22,442,24,34,13,0,0,442
23,464,30,16,15,14,16,464
24,514,30,30,16,2,17,514
25,538,30,22,15,13,16,538
26,596,30,33,16,4,17,596
27,628,30,12,15,28,16,628
28,661,30,11,15,31,16,661
29,701,30,19,15,26,16,701
30,745,30,23,15,25,16,745
31,793,30,23,15,28,16,793
32,845,30,19,15,35,16,845
33,901,30,11,15,46,16,901
34,961,30,59,16,1,17,961
35,986,30,22,15,41,16,986
36,1054,30,2,15,64,16,1054
37,1096,30,24,15,46,16,1096
38,1142,30,42,15,32,16,1142
39,1222,30,10,15,67,16,1222
40,1276,30,20,15,61,16,1276
