Version,Numeric,Alphanumeric,Binary
1,41,25,17
2,77,47,32
3,127,77,53
4,187,114,78
5,255,154,106
6,322,195,134
7,370,224,154
8,461,279,192
9,552,335,230
10,652,395,271
11,772,468,321
12,883,535,367
13,1022,619,425
14,1101,667,458
15,1250,758,520
16,1408,854,586
17,1548,938,644
18,1725,1046,718
19,1903,1153,792
20,2061,1249,858
21,2232,1352,929
22,2409,1460,1003
23,2620,1588,1091
24,2812,1704,1171
25,3057,1853,1273
26,3283,1990,1367
27,3514,2132,1465
28,3669,2223,1528
29,3909,2369,1628
30,4158,2520,1732
31,4417,2677,1840
32,4686,2840,1952
33,4965,3009,2068
34,5253,3183,2188
35,5529,3351,2303
36,5836,3537,2431
37,6153,3729,2563
38,6479,3927,2699
39,6743,4087,2809
40,7089,4296,2953
