Version,Total_Number_of_Data_Codewords,EC_Codewords_Per_Block,Number_of_Blocks_in_Group_1,Number_of_Data_Codewords_per_Group_1_Blocks,Number_of_Blocks_in_Group_2,Number_of_Data_Codewords_per_Group_2_Blocks,Total_Data_Codewords
1,19,7,1,19,0,0,19
2,34,10,1,34,0,0,34
3,55,15,1,55,0,0,55
4,80,20,1,80,0,0,80
5,108,26,1,108,0,0,108
6,136,18,2,68,0,0,136
7,156,20,2,78,0,0,156
8,194,24,2,97,0,0,194
9,232,30,2,116,0,0,232
10,274,18,2,68,2,69,274
11,324,20,4,81,0,0,324
12,370,24,2,92,2,93,370
13,428,26,4,107,0,0,428
14,461,30,3,115,1,116,461
15,523,22,5,87,1,88,523
16,589,24,5,98,1,99,589
17,647,28,1,107,5,108,647
18,721,30,5,120,1,121,721
19,795,28,3,113,4,114,795
20,861,28,3,107,5,108,861
21,932,28,4,116,4,117,932
22,1006,28,2,111,7,112,1006
23,1094,30,4,121,5,122,1094
24,1174,30,6,117,4,118,1174
25,1276,26,8,106,4,107,1276
26,1370,28,10,114,2,115,1370
27,1468,30,8,122,4,123,1468
28,1531,30,3,117,10,118,1531
29,1631,30,7,116,7,117,1631
30,1735,30,5,115,10,116,1735
31,1843,30,13,115,3,116,1843
32,1955,30,17,115,0,0,1955
33,2071,30,17,115,1,116,2071
34,2191,30,13,115,6,116,2191
35,2306,30,12,121,7,122,2306
36,2434,30,6,121,14,122,2434
37,2566,30,17,122,4,123,2566
38,2702,30,4,122,18,123,2702
39,2812,30,20,117,4,118,2812
40,2956,30,19,118,6,119,2956
