Version,Numeric,Alphanumeric,Binary
1,34,20,14
2,63,38,26
3,101,61,42
4,149,90,62
5,202,122,84
6,255,154,106
7,293,178,122
8,365,221,152
9,432,262,180
10,513,311,213
11,604,366,251
12,691,419,287
13,796,483,331
14,871,528,362
15,991,600,412
16,1082,656,450
17,1212,734,504
18,1346,816,560
19,1500,909,624
20,1600,970,666
21,1708,1035,711
22,1872,1134,779
23,2059,1248,857
24,2188,1326,911
25,2395,1451,997
26,2544,1542,1059
27,2701,1637,1125
28,2857,1732,1190
29,3035,1839,1264
30,3289,1994,1370
31,3486,2113,1452
32,3693,2238,1538
33,3909,2369,1628
34,4134,2506,1722
35,4343,2632,1809
36,4588,2780,1911
37,4775,2894,1989
38,5039,3054,2099
39,5313,3220,2213
40,5596,3391,2331
