Version,Total_Number_of_Data_Codewords,EC_Codewords_Per_Block,Number_of_Blocks_in_Group_1,Number_of_Data_Codewords_per_Group_1_Blocks,Number_of_Blocks_in_Group_2,Number_of_Data_Codewords_per_Group_2_Blocks,Total_Data_Codewords
1,16,10,1,16,0,0,16
2,28,16,1,28,0,0,28
3,44,26,1,44,0,0,44
4,64,18,2,32,0,0,64
5,86,24,2,43,0,0,86
6,108,16,4,27,0,0,108
7,124,18,4,31,0,0,124
8,154,22,2,38,2,39,154
9,182,22,3,36,2,37,182
10,216,26,4,43,1,44,216
11,254,30,1,50,4,51,254
12,290,22,6,36,2,37,290
13,334,22,8,37,1,38,334
14,365,24,4,40,5,41,365
15,415,24,5,41,5,42,415
16,453,28,7,45,3,46,453
17,507,28,10,46,1,47,507
18,563,26,9,43,4,44,563
19,627,26,3,44,11,45,627
20,669,26,3,41,13,42,669
21,714,26,17,42,0,0,714
22,782,28,17,46,0,0,782
23,860,28,4,47,14,48,860
24,914,28,6,45,14,46,914
25,1000,28,8,47,13,48,1000
26,1062,28,19,46,4,47,1062
27,1128,28,22,45,3,46,1128
28,1193,28,3,45,23,46,1193
29,1267,28,21,45,7,46,1267
30,1373,28,19,47,10,48,1373
31,1455,28,2,46,29,47,1455
32,1541,28,10,46,23,47,1541
33,1631,28,14,46,21,47,1631
34,1725,28,14,46,23,47,1725
35,1812,28,12,47,26,48,1812
36,1914,28,6,47,34,48,1914
37,1992,28,29,46,14,47,1992
38,2102,28,13,46,32,47,2102
39,2216,28,40,47,7,48,2216
40,2334,28,18,47,31,48,2334
